lng,lat,region,pass_no,wave,hand_labelled,region_finished
150.09137,-24.51812,Australia 15,4,5,0,2026-09-02T22:43
150.08356,-24.51085,Australia 15,4,5,0,2026-09-02T22:43
152.74356,-25.41671,Australia 15,4,5,0,2026-09-02T22:43
151.03541,-23.79300,Australia 15,4,5,0,2026-09-02T22:43
151.05535,-23.81546,Australia 15,4,5,0,2026-09-02T22:43
152.39609,-25.31098,Australia 15,4,5,0,2026-09-02T22:43
152.74625,-25.42398,Australia 15,4,5,0,2026-09-02T22:43
151.04951,-23.82022,Australia 15,4,5,0,2026-09-02T22:43
152.01664,-24.93395,Australia 15,4,5,0,2026-09-02T22:43
151.05041,-23.82516,Australia 15,4,5,0,2026-09-02T22:43
148.43578,-23.08010,Australia 15,4,5,0,2026-09-02T22:43
148.41862,-23.08396,Australia 15,5,5,0,2026-09-02T22:43
148.43470,-23.08477,Australia 15,5,5,0,2026-09-02T22:43
148.43128,-23.08917,Australia 15,5,5,0,2026-09-02T22:43
152.40310,-25.31026,Australia 15,5,5,0,2026-09-02T22:43
150.07897,-24.51390,Australia 15,5,5,0,2026-09-02T22:43
151.06335,-23.81214,Australia 15,5,5,0,2026-09-02T22:43
147.57618,-22.83199,Australia 15,5,5,0,2026-09-02T22:43
150.09443,-24.52270,Australia 15,5,5,0,2026-09-02T22:43
152.73475,-25.41500,Australia 15,5,5,0,2026-09-02T22:43
148.42185,-23.08729,Australia 15,5,5,0,2026-09-02T22:43
152.00703,-24.93943,Australia 15,5,5,0,2026-09-02T22:43
151.04466,-23.81923,Australia 15,5,5,0,2026-09-02T22:43
152.01817,-24.93871,Australia 15,5,5,0,2026-09-02T22:43
147.57393,-22.84088,Australia 15,5,5,0,2026-09-02T22:43
148.43084,-23.07992,Australia 15,5,5,0,2026-09-02T22:43
151.04314,-23.81007,Australia 15,5,5,0,2026-09-02T22:43
152.40085,-25.30092,Australia 15,6,5,0,2026-09-02T22:43
147.92499,-22.13804,Australia 15,6,5,0,2026-09-02T22:43
150.09164,-24.51219,Australia 15,6,5,0,2026-09-02T22:43
148.41682,-23.08863,Australia 15,6,5,0,2026-09-02T22:43
152.74149,-25.42650,Australia 15,6,5,0,2026-09-02T22:43
152.74778,-25.41913,Australia 15,6,5,0,2026-09-02T22:43
151.03990,-23.79642,Australia 15,6,5,0,2026-09-02T22:43
147.58031,-22.84330,Australia 15,6,5,0,2026-09-02T22:43
147.58211,-22.83001,Australia 15,6,5,0,2026-09-02T22:43
151.06856,-23.81645,Australia 15,6,5,0,2026-09-02T22:43
148.72126,-22.82031,Australia 15,6,5,0,2026-09-02T22:43
152.84291,-25.34350,Australia 15,6,5,0,2026-09-02T22:43
148.41826,-23.07830,Australia 15,6,5,0,2026-09-02T22:43
151.03739,-23.80459,Australia 15,6,5,0,2026-09-02T22:43
148.71928,-22.82722,Australia 15,6,5,0,2026-09-02T22:43
147.58633,-22.84133,Australia 15,7,5,0,2026-09-02T22:43
152.73493,-25.41958,Australia 15,7,5,0,2026-09-02T22:43
151.04637,-23.81447,Australia 15,7,5,0,2026-09-02T22:43
148.43640,-23.08899,Australia 15,7,5,0,2026-09-02T22:43
151.01789,-23.80675,Australia 15,7,5,0,2026-09-02T22:43
151.05203,-23.80818,Australia 15,7,5,0,2026-09-02T22:43
151.01511,-23.81214,Australia 15,7,5,0,2026-09-02T22:43
151.00963,-23.81663,Australia 15,7,5,0,2026-09-02T22:43
151.05904,-23.82346,Australia 15,7,5,0,2026-09-02T22:43
147.80219,-20.54002,Australia 16,4,5,0,2026-09-03T06:56
144.15108,-18.88991,Australia 16,4,5,0,2026-09-03T06:56
147.76411,-20.50652,Australia 16,4,5,0,2026-09-03T06:56
146.88016,-19.32954,Australia 16,4,5,0,2026-09-03T06:56
147.75908,-20.49367,Australia 16,4,5,0,2026-09-03T06:56
144.18917,-20.85381,Australia 16,4,5,0,2026-09-03T06:56
144.13419,-18.89692,Australia 16,4,5,0,2026-09-03T06:56
146.86849,-19.33143,Australia 16,5,5,0,2026-09-03T06:56
147.75916,-20.47849,Australia 16,5,5,0,2026-09-03T06:56
147.75135,-20.49026,Australia 16,5,5,0,2026-09-03T06:56
147.21101,-19.84176,Australia 16,5,5,0,2026-09-03T06:56
147.76851,-20.46762,Australia 16,5,5,0,2026-09-03T06:56
147.73967,-20.49421,Australia 16,5,5,0,2026-09-03T06:56
144.18369,-20.85506,Australia 16,5,5,0,2026-09-03T06:56
147.21065,-19.85066,Australia 16,5,5,0,2026-09-03T06:56
146.88430,-19.33502,Australia 16,6,5,0,2026-09-03T06:56
144.42345,-20.87411,Australia 16,6,5,0,2026-09-03T06:56
146.86902,-19.32631,Australia 16,6,5,0,2026-09-03T06:56
146.87432,-19.33080,Australia 16,6,5,0,2026-09-03T06:56
147.75665,-20.48424,Australia 16,6,5,0,2026-09-03T06:56
147.75018,-20.49547,Australia 16,6,5,0,2026-09-03T06:56
147.76455,-20.49196,Australia 16,6,5,0,2026-09-03T06:56
146.88358,-19.32613,Australia 16,6,5,0,2026-09-03T06:56
146.70850,-19.43303,Australia 16,7,5,0,2026-09-03T06:56
147.75009,-20.48514,Australia 16,7,5,0,2026-09-03T06:56
123.19105,-31.83993,Australia 2,2,6,0,2026-09-04T03:26
120.54336,-27.58982,Australia 2,2,6,0,2026-09-04T03:26
122.36676,-30.15918,Australia 2,2,6,0,2026-09-04T03:26
120.61244,-26.37809,Australia 2,3,6,0,2026-09-04T03:26
120.54210,-27.46226,Australia 2,4,6,0,2026-09-04T03:26
122.34825,-28.85124,Australia 2,4,6,0,2026-09-04T03:26
123.17246,-31.80544,Australia 2,4,6,0,2026-09-04T03:26
120.56096,-27.20795,Australia 2,4,6,0,2026-09-04T03:26
128.22566,-31.81729,Australia 3,3,6,0,2026-09-04T14:43
137.72723,-33.97568,Australia 4,2,6,0,2026-09-04T06:48
146.96784,-35.75075,Australia 5,1,3,0,2026-08-31T11:17
144.91501,-36.42089,Australia 5,1,3,0,2026-08-31T11:17
145.39687,-36.16766,Australia 5,2,3,0,2026-08-31T11:17
145.50107,-35.65984,Australia 5,3,3,0,2026-08-31T11:17
139.21143,-35.09623,Australia 5,3,3,0,2026-08-31T11:17
144.71109,-36.23934,Australia 5,4,3,0,2026-08-31T11:17
146.05228,-34.65022,Australia 5,4,3,0,2026-08-31T11:17
147.43308,-35.07647,Australia 5,4,3,0,2026-08-31T11:17
139.47984,-35.27707,Australia 5,4,3,0,2026-08-31T11:17
139.49529,-35.28246,Australia 5,4,3,0,2026-08-31T11:17
147.43927,-35.03928,Australia 5,4,3,0,2026-08-31T11:17
146.08030,-34.65220,Australia 5,4,3,0,2026-08-31T11:17
139.47670,-35.26700,Australia 5,4,3,0,2026-08-31T11:17
146.97530,-35.75066,Australia 5,4,3,0,2026-08-31T11:17
146.13995,-36.49985,Australia 5,4,3,0,2026-08-31T11:17
145.91816,-34.75964,Australia 5,4,3,0,2026-08-31T11:17
147.44224,-35.07000,Australia 5,4,3,0,2026-08-31T11:17
147.43523,-35.03865,Australia 5,4,3,0,2026-08-31T11:17
139.49646,-35.26224,Australia 5,4,3,0,2026-08-31T11:17
142.80154,-37.00686,Australia 5,4,3,0,2026-08-31T11:17
146.13025,-36.49940,Australia 5,4,3,0,2026-08-31T11:17
146.95643,-35.74518,Australia 5,4,3,0,2026-08-31T11:17
146.15513,-36.48557,Australia 5,4,3,0,2026-08-31T11:17
146.12504,-36.51261,Australia 5,4,3,0,2026-08-31T11:17
147.44709,-35.04611,Australia 5,4,3,0,2026-08-31T11:17
145.95310,-34.74949,Australia 5,4,3,0,2026-08-31T11:17
145.82042,-34.62588,Australia 5,4,3,0,2026-08-31T11:17
147.44098,-35.05159,Australia 5,4,3,0,2026-08-31T11:17
142.76327,-34.69092,Australia 5,4,3,0,2026-08-31T11:17
144.45408,-36.63379,Australia 5,4,3,0,2026-08-31T11:17
146.12926,-36.49042,Australia 5,4,3,0,2026-08-31T11:17
146.12477,-36.48764,Australia 5,4,3,0,2026-08-31T11:17
146.11615,-36.48880,Australia 5,4,3,0,2026-08-31T11:17
146.97008,-35.74311,Australia 5,4,3,0,2026-08-31T11:17
146.16879,-36.49204,Australia 5,4,3,0,2026-08-31T11:17
145.40136,-36.16451,Australia 5,4,3,0,2026-08-31T11:17
147.44368,-35.05761,Australia 5,4,3,0,2026-08-31T11:17
146.69367,-36.09741,Australia 5,4,3,0,2026-08-31T11:17
146.12711,-36.50578,Australia 5,4,3,0,2026-08-31T11:17
147.55947,-34.61932,Australia 5,4,3,0,2026-08-31T11:17
146.11713,-36.50012,Australia 5,4,3,0,2026-08-31T11:17
139.49080,-35.26575,Australia 5,4,3,0,2026-08-31T11:17
143.50906,-34.79332,Australia 5,4,3,0,2026-08-31T11:17
145.39992,-36.15867,Australia 5,4,3,0,2026-08-31T11:17
146.11525,-36.50578,Australia 5,4,3,0,2026-08-31T11:17
147.55848,-34.60845,Australia 5,4,3,0,2026-08-31T11:17
139.18852,-35.12480,Australia 5,4,3,0,2026-08-31T11:17
146.16133,-36.49410,Australia 5,4,3,0,2026-08-31T11:17
142.74998,-34.68526,Australia 5,4,3,0,2026-08-31T11:17
144.83191,-37.64583,Australia 5,4,3,0,2026-08-31T11:17
149.14194,-35.48754,Australia 5,4,3,0,2026-08-31T11:17
139.48892,-35.27383,Australia 5,5,3,0,2026-08-31T11:17
146.04123,-34.64672,Australia 5,5,3,0,2026-08-31T11:17
139.48550,-35.28039,Australia 5,5,3,0,2026-08-31T11:17
146.07824,-34.64708,Australia 5,5,3,0,2026-08-31T11:17
146.14265,-36.50515,Australia 5,5,3,0,2026-08-31T11:17
146.09288,-34.65157,Australia 5,5,3,0,2026-08-31T11:17
146.05273,-34.64007,Australia 5,5,3,0,2026-08-31T11:17
146.06476,-34.64627,Australia 5,5,3,0,2026-08-31T11:17
146.96065,-35.75192,Australia 5,5,3,0,2026-08-31T11:17
146.98356,-35.74715,Australia 5,5,3,0,2026-08-31T11:17
146.96200,-35.74230,Australia 5,5,3,0,2026-08-31T11:17
145.49712,-35.64070,Australia 5,5,3,0,2026-08-31T11:17
143.94492,-35.78147,Australia 5,5,3,0,2026-08-31T11:17
139.51209,-35.29512,Australia 5,5,3,0,2026-08-31T11:17
145.38528,-36.16496,Australia 5,5,3,0,2026-08-31T11:17
145.94583,-34.75101,Australia 5,5,3,0,2026-08-31T11:17
139.42666,-35.26063,Australia 5,5,3,0,2026-08-31T11:17
147.43568,-35.05509,Australia 5,5,3,0,2026-08-31T11:17
144.19303,-36.54683,Australia 5,5,3,0,2026-08-31T11:17
145.93055,-34.75613,Australia 5,5,3,0,2026-08-31T11:17
146.12243,-36.48323,Australia 5,5,3,0,2026-08-31T11:17
147.56225,-34.60405,Australia 5,5,3,0,2026-08-31T11:17
147.55570,-34.60117,Australia 5,5,3,0,2026-08-31T11:17
146.18109,-36.47919,Australia 5,5,3,0,2026-08-31T11:17
146.12252,-36.49806,Australia 5,5,3,0,2026-08-31T11:17
142.61011,-36.97291,Australia 5,5,3,0,2026-08-31T11:17
146.19798,-36.47964,Australia 5,5,3,0,2026-08-31T11:17
146.06602,-34.68930,Australia 5,5,3,0,2026-08-31T11:17
145.46981,-36.16694,Australia 5,5,3,0,2026-08-31T11:17
146.68810,-36.09920,Australia 5,5,3,0,2026-08-31T11:17
146.97979,-35.70197,Australia 5,5,3,0,2026-08-31T11:17
145.51670,-35.64663,Australia 5,5,3,0,2026-08-31T11:17
146.04581,-34.64950,Australia 5,6,3,0,2026-08-31T11:17
146.05812,-34.64950,Australia 5,6,3,0,2026-08-31T11:17
146.04230,-34.63971,Australia 5,6,3,0,2026-08-31T11:17
146.06333,-34.65157,Australia 5,6,3,0,2026-08-31T11:17
146.08677,-34.65408,Australia 5,6,3,0,2026-08-31T11:17
146.05542,-34.64474,Australia 5,6,3,0,2026-08-31T11:17
146.94340,-35.74886,Australia 5,6,3,0,2026-08-31T11:17
146.18738,-36.48431,Australia 5,6,3,0,2026-08-31T11:17
145.93639,-34.75326,Australia 5,6,3,0,2026-08-31T11:17
145.91349,-34.76260,Australia 5,6,3,0,2026-08-31T11:17
145.95346,-34.74481,Australia 5,6,3,0,2026-08-31T11:17
146.95544,-35.75030,Australia 5,6,3,0,2026-08-31T11:17
146.95230,-35.73952,Australia 5,6,3,0,2026-08-31T11:17
147.44502,-35.03784,Australia 5,6,3,0,2026-08-31T11:17
146.97772,-35.74374,Australia 5,6,3,0,2026-08-31T11:17
146.08471,-34.64789,Australia 5,6,3,0,2026-08-31T11:17
143.93962,-35.77743,Australia 5,6,3,0,2026-08-31T11:17
145.92058,-34.76377,Australia 5,6,3,0,2026-08-31T11:17
146.17948,-36.47416,Australia 5,6,3,0,2026-08-31T11:17
146.94987,-35.74724,Australia 5,6,3,0,2026-08-31T11:17
139.48020,-35.26269,Australia 5,6,3,0,2026-08-31T11:17
146.17624,-36.48440,Australia 5,6,3,0,2026-08-31T11:17
147.43775,-35.07890,Australia 5,6,3,0,2026-08-31T11:17
145.91708,-34.77329,Australia 5,6,3,0,2026-08-31T11:17
146.35743,-35.98359,Australia 5,6,3,0,2026-08-31T11:17
146.13447,-36.49626,Australia 5,6,3,0,2026-08-31T11:17
139.49457,-35.27428,Australia 5,6,3,0,2026-08-31T11:17
147.44664,-35.05240,Australia 5,6,3,0,2026-08-31T11:17
144.91905,-36.42448,Australia 5,6,3,0,2026-08-31T11:17
147.55318,-34.61797,Australia 5,6,3,0,2026-08-31T11:17
146.94520,-35.74500,Australia 5,6,3,0,2026-08-31T11:17
139.49502,-35.26889,Australia 5,6,3,0,2026-08-31T11:17
146.19008,-36.47811,Australia 5,6,3,0,2026-08-31T11:17
146.16151,-36.48404,Australia 5,6,3,0,2026-08-31T11:17
140.46484,-36.60190,Australia 5,6,3,0,2026-08-31T11:17
146.14831,-36.49231,Australia 5,6,3,0,2026-08-31T11:17
147.55381,-34.61150,Australia 5,6,3,0,2026-08-31T11:17
146.19178,-36.47191,Australia 5,6,3,0,2026-08-31T11:17
145.48454,-36.17421,Australia 5,6,3,0,2026-08-31T11:17
146.36237,-36.32127,Australia 5,6,3,0,2026-08-31T11:17
139.85785,-35.68445,Australia 5,6,3,0,2026-08-31T11:17
145.47771,-36.17161,Australia 5,6,3,0,2026-08-31T11:17
143.50950,-34.79880,Australia 5,6,3,0,2026-08-31T11:17
142.76768,-34.68750,Australia 5,6,3,0,2026-08-31T11:17
143.47178,-34.81228,Australia 5,6,3,0,2026-08-31T11:17
145.46945,-36.05303,Australia 5,6,3,0,2026-08-31T11:17
143.49998,-34.79431,Australia 5,6,3,0,2026-08-31T11:17
145.47232,-36.16191,Australia 5,6,3,0,2026-08-31T11:17
143.50977,-34.78739,Australia 5,6,3,0,2026-08-31T11:17
145.92489,-34.76898,Australia 5,6,3,0,2026-08-31T11:17
145.50538,-35.64385,Australia 5,6,3,0,2026-08-31T11:17
146.05964,-34.64357,Australia 5,6,3,0,2026-08-31T11:17
145.40217,-36.16909,Australia 5,6,3,0,2026-08-31T11:17
143.93881,-35.78111,Australia 5,6,3,0,2026-08-31T11:17
146.96523,-35.74671,Australia 5,6,3,0,2026-08-31T11:17
147.56612,-34.81695,Australia 5,6,3,0,2026-08-31T11:17
146.19807,-36.47156,Australia 5,6,3,0,2026-08-31T11:17
145.47358,-36.17224,Australia 5,6,3,0,2026-08-31T11:17
148.02668,-34.64807,Australia 5,6,3,0,2026-08-31T11:17
143.47456,-34.80850,Australia 5,6,3,0,2026-08-31T11:17
140.70937,-37.01881,Australia 5,6,3,0,2026-08-31T11:17
143.47357,-34.79898,Australia 5,6,3,0,2026-08-31T11:17
145.41923,-36.07270,Australia 5,6,3,0,2026-08-31T11:17
146.36893,-36.32441,Australia 5,6,3,0,2026-08-31T11:17
143.48462,-34.72092,Australia 5,6,3,0,2026-08-31T11:17
145.49631,-35.64538,Australia 5,6,3,0,2026-08-31T11:17
145.50269,-35.65139,Australia 5,6,3,0,2026-08-31T11:17
145.48230,-36.16649,Australia 5,6,3,0,2026-08-31T11:17
146.04940,-34.64591,Australia 5,7,3,0,2026-08-31T11:17
146.94718,-35.75218,Australia 5,7,3,0,2026-08-31T11:17
144.91186,-36.41379,Australia 5,7,3,0,2026-08-31T11:17
146.13016,-36.51045,Australia 5,7,3,0,2026-08-31T11:17
144.91034,-36.42484,Australia 5,7,3,0,2026-08-31T11:17
144.91564,-36.41487,Australia 5,7,3,0,2026-08-31T11:17
143.47088,-34.80473,Australia 5,7,3,0,2026-08-31T11:17
145.95589,-35.95008,Australia 5,7,3,0,2026-08-31T11:17
142.30774,-35.02482,Australia 5,7,3,0,2026-08-31T11:17
143.37503,-34.77015,Australia 5,7,3,0,2026-08-31T11:17
139.26712,-34.91010,Australia 5,7,3,0,2026-08-31T11:17
146.04743,-34.64142,Australia 5,7,3,0,2026-08-31T11:17
146.37163,-36.32863,Australia 5,7,3,0,2026-08-31T11:17
147.56414,-34.60827,Australia 5,7,3,0,2026-08-31T11:17
147.43281,-35.04270,Australia 5,7,3,0,2026-08-31T11:17
141.63544,-36.35361,Australia 5,7,3,0,2026-08-31T11:17
143.48022,-34.81156,Australia 5,7,3,0,2026-08-31T11:17
145.47897,-36.16128,Australia 5,7,3,0,2026-08-31T11:17
142.30594,-35.01997,Australia 5,7,3,0,2026-08-31T11:17
143.50861,-34.77158,Australia 5,7,3,0,2026-08-31T11:17
145.04284,-37.71824,Australia 5,7,3,0,2026-08-31T11:17
146.91035,-35.93436,Australia 5,7,3,0,2026-08-31T11:17
